path,domain,line_count,classification,merge_target,reason,risk,referenced_by
src/analysis/AnalysisCacheVersion.h,Analysis,7,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/library/LibraryTrackStore.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/AnalysisFeatureExtractor.cpp,Analysis,183,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/AnalysisFeatureExtractor.h;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/AnalysisFeatureExtractor.h,Analysis,32,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/AnalysisFeatureExtractor.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/AnalysisJobQueue.h,Analysis,119,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/library/LibraryAnalysisManager.h
src/analysis/AnalysisResult.h,Analysis,164,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/AnalysisFeatureExtractor.h;src/analysis/AnalysisValidation.h;src/analysis/AnalysisWorkingData.h;src/analysis/BeatGridFitter.h;src/analysis/BeatTracker.h;src/analysis/DownbeatDetector.h;src/analysis/PhraseAnalyzer.h;src/analysis/TempoEstimator.h;src/domain/TrackData.cpp;src/domain/TrackData.h;src/library/LibraryDatabase.cpp;src/library/LibraryDatabase.h;src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformAnalyzer.h
src/analysis/AnalysisValidation.cpp,Analysis,39,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/AnalysisValidation.h,Analysis,18,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/AnalysisValidation.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/AnalysisWorkingData.h,Analysis,153,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/rendering/WaveformAnalysisOrchestrator.h;src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformEnvelopePass.h
src/analysis/BeatGridFitter.cpp,Analysis,311,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/BeatGridFitter.h;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/BeatGridFitter.h,Analysis,14,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/BeatGridFitter.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
